Code,KB,Sales,Month,Year
447,Gasoline stations,36963,2,2020
448,Clothing and clothing access. stores,19232,2,2020
4481,Clothing stores,13439,2,2020
44811,Men's clothing stores,615,2,2020
44812,Women's clothing stores,2662,2,2020
44814,Family clothing stores,7535,2,2020
44819,Other clothing stores,1344,2,2020
4482,Shoe stores,2701,2,2020
44831,Jewelry stores,2751,2,2020
451,"Sporting goods, hobby, musical instrument, and book stores",5632,2,2020
45111,Sporting goods stores,3107,2,2020
45112,"Hobby, toy, and game stores",1200,2,2020
451211,Book stores,593,2,2020
452,General merchandise stores,54596,2,2020
4521,Department stores,9067,2,2020
452111,Department stores(excl. discount department stores),2473,2,2020
452112,Discount dept. stores,6594,2,2020
4529,Other general merchandise stores,45529,2,2020
45291,Warehouse clubs and superstores,39451,2,2020
45299,All other gen. merchandise stores,6078,2,2020
453,Miscellaneous store retailers,10302,2,2020
4532,"Office supplies, stationery, and gift stores",1953,2,2020
45321,Office supplies and stationery stores,816,2,2020
45322,"Gift, novelty, and souvenir stores",1137,2,2020
45330,Used merchandise stores,1551,2,2020
454,Nonstore retailers,58864,2,2020
4541,Electronic shopping and mail-order houses,50716,2,2020
45431,Fuel dealers,3565,2,2020
722,Food services and drinking places,62956,2,2020
7224,Drinking places,0,2,2020
7225,Restaurants and other eating places,54911,2,2020
722511,Full service restaurants,0,2,2020
"722513, 722514, 722515",Limited service eating places,27062,2,2020
441,Motor vehicle and parts dealers,89623,2,2019
"44,114,412",Automobile and other motor vehicle dealers,82469,2,2019
4411,Automobile dealers,77461,2,2019
44111,New car dealers,67456,2,2019
44112,Used car dealers,10005,2,2019
4413,"Automotive parts, acc., and tire stores",7154,2,2019
"442,443","Furniture, home furn, electronics, and appliance stores",15191,2,2019
442,Furniture and home furnishings stores,8629,2,2019
4421,Furniture stores,4616,2,2019
4422,Home furnishings stores,4013,2,2019
44221,Floor covering stores,0,2,2019
442299,All other home furnishings stores,2088,2,2019
443,Electronics and appliance stores,6562,2,2019
443141,Household appliance stores,1177,2,2019
443142,Electronics stores,5385,2,2019
444,Building mat. and garden equip. and supplies dealers,24039,2,2019
4441,Building mat. and supplies dealers,21061,2,2019
44412,Paint and wallpaper stores,860,2,2019
44413,Hardware stores,1910,2,2019
445,Food and beverage stores,56898,2,2019
4451,Grocery stores,51284,2,2019
44511,Supermarkets and other grocery (except convenience) stores,49031,2,2019
4453,"Beer, wine, and liquor stores",3916,2,2019
446,Health and personal care stores,26772,2,2019
44611,Pharmacies and drug stores,22372,2,2019
447,Gasoline stations,35514,2,2019
448,Clothing and clothing access. stores,17961,2,2019
4481,Clothing stores,12514,2,2019
44811,Men's clothing stores,591,2,2019
44812,Women's clothing stores,2571,2,2019
44814,Family clothing stores,6905,2,2019
44819,Other clothing stores,1212,2,2019
4482,Shoe stores,2722,2,2019
44831,Jewelry stores,2484,2,2019
451,"Sporting goods, hobby, musical instrument, and book stores",5249,2,2019
45111,Sporting goods stores,2876,2,2019
45112,"Hobby, toy, and game stores",1088,2,2019
451211,Book stores,585,2,2019
452,General merchandise stores,50626,2,2019
4521,Department stores,9108,2,2019
452111,Department stores(excl. discount department stores),2641,2,2019
452112,Discount dept. stores,6467,2,2019
4529,Other general merchandise stores,41518,2,2019
45291,Warehouse clubs and superstores,35759,2,2019
45299,All other gen. merchandise stores,5759,2,2019
453,Miscellaneous store retailers,8938,2,2019
4532,"Office supplies, stationery, and gift stores",1940,2,2019
